bucket,n,PICP,width,site,method,variant,horizon_min
2024-05,3116,0.8937740693196405,198.53759192731923,yulara,aci_regime,anticipative,15
2024-06,2949,0.8975924042048152,214.07263780455412,yulara,aci_regime,anticipative,15
2024-07,3110,0.8926045016077171,204.06014425909862,yulara,aci_regime,anticipative,15
2024-08,2432,0.9009046052631579,135.54640745564473,yulara,aci_regime,anticipative,15
2024-09,3558,0.9080944350758853,276.22978514413774,yulara,aci_regime,anticipative,15
2024-10,3814,0.9176717357105402,296.2967288746598,yulara,aci_regime,anticipative,15
2024-11,3353,0.9096331643304504,402.0814546265947,yulara,aci_regime,anticipative,15
2024-12,3795,0.9180500658761528,341.693627286945,yulara,aci_regime,anticipative,15
2024-01,3782,0.9093072448439978,533.8654325735092,yulara,aci,delayed,15
2024-02,3191,0.9338765277342526,316.3837292439154,yulara,aci,delayed,15
2024-03,3740,0.913903743315508,481.2740693711841,yulara,aci,delayed,15
2024-04,3254,0.9093423478795328,226.49175888264156,yulara,aci,delayed,15
2024-05,3116,0.9030808729139923,264.6737652012768,yulara,aci,delayed,15
2024-06,2949,0.9030179721939641,286.09446211594985,yulara,aci,delayed,15
2024-07,3110,0.9028938906752412,271.8192875854056,yulara,aci,delayed,15
2024-08,2432,0.9140625,193.27777526957266,yulara,aci,delayed,15
2024-09,3558,0.9162450815064643,371.3408556599174,yulara,aci,delayed,15
2024-10,3814,0.9231777661248034,374.24566036397215,yulara,aci,delayed,15
2024-11,3353,0.9096331643304504,485.8418574401347,yulara,aci,delayed,15
2024-12,3795,0.922266139657444,429.8025905167964,yulara,aci,delayed,15
2024-01,3782,0.8984664198836594,482.80518918002025,yulara,aci_regime,delayed,15
2024-02,3191,0.9247884675650266,306.25273823996,yulara,aci_regime,delayed,15
2024-03,3740,0.8997326203208557,419.89214199617,yulara,aci_regime,delayed,15
2024-04,3254,0.8915181315304241,238.38241029164774,yulara,aci_regime,delayed,15
2024-05,3116,0.8860718870346598,247.08031526278393,yulara,aci_regime,delayed,15
2024-06,2949,0.8928450322143099,243.7231140285555,yulara,aci_regime,delayed,15
2024-07,3110,0.8813504823151126,251.02599778109803,yulara,aci_regime,delayed,15
2024-08,2432,0.8910361842105263,172.5391764380539,yulara,aci_regime,delayed,15
2024-09,3558,0.9010680157391793,339.998387767824,yulara,aci_regime,delayed,15
2024-10,3814,0.9119035133717881,333.8878099881872,yulara,aci_regime,delayed,15
2024-11,3353,0.9006859528780197,454.2942871083782,yulara,aci_regime,delayed,15
2024-12,3795,0.9138339920948617,392.4348771463161,yulara,aci_regime,delayed,15
