site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,15,transitional,CRPS_level,icp|static,,15873,60.4077,56.5518,64.1841,,,,
asp,15,transitional,CRPS_level,icp_norm|static,,15873,53.1211,50.0804,56.0701,,,,
asp,15,transitional,CRPS_level,mondrian|static,,15873,49.902,47.4624,52.2881,,,,
asp,15,transitional,CRPS_level,cqr|static,,15873,41.6553,39.7296,43.5246,,,,
asp,15,transitional,CRPS_level,mondrian_cqr|static,,15873,41.6399,39.7187,43.501,,,,
asp,15,transitional,CRPS_level,cqr|rearranged,,15873,41.6458,39.7191,43.5144,,,,
asp,15,transitional,CRPS_level,mondrian_cqr|rearranged,,15873,41.6311,39.7103,43.4944,,,,
asp,15,transitional,CRPS_diff,icp,icp_norm,15873,7.2866,6.2609,8.3147,9.26,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp,mondrian,15873,10.5057,9.0016,11.9457,10.132,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp,cqr,15873,18.7523,16.7032,20.8041,13.521,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp,mondrian_cqr,15873,18.7678,16.7172,20.8306,13.513,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp_norm,mondrian,15873,3.2191,2.3471,4.0655,6.151,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp_norm,cqr,15873,11.4658,10.1655,12.7783,15.024,0.0,0.0,yes
asp,15,transitional,CRPS_diff,icp_norm,mondrian_cqr,15873,11.4812,10.1711,12.8009,14.956,0.0,0.0,yes
asp,15,transitional,CRPS_diff,mondrian,cqr,15873,8.2466,7.4193,9.0923,16.625,0.0,0.0,yes
asp,15,transitional,CRPS_diff,mondrian,mondrian_cqr,15873,8.2621,7.4293,9.1158,16.636,0.0,0.0,yes
asp,15,transitional,CRPS_diff,cqr,mondrian_cqr,15873,0.0154,0.0016,0.0297,1.738,0.004304,0.082227,yes
asp,15,transitional,CRPS_diff_rearranged,cqr|rearranged,cqr|static,15873,-0.009497,-0.013653,-0.006038,-4.733,,2e-06,yes
