bucket,n,PICP,width,method,horizon_min
2024-07,3101,0.8922928087713641,214.3210521338124,aci_regime,15
2024-08,2342,0.9052092228864219,147.07770066285505,aci_regime,15
2024-09,3515,0.9086770981507823,281.415514169693,aci_regime,15
2024-10,3680,0.9241847826086956,301.22920904661873,aci_regime,15
2024-11,3116,0.9091784338896021,404.43464247143515,aci_regime,15
2024-12,3256,0.9269041769041769,351.2930070796964,aci_regime,15
2024-01,3563,0.8010103845074376,345.5500889894542,icp,30
2024-02,2986,0.8844608171466846,348.41003198436727,icp,30
2024-03,3608,0.7899113082039911,341.07798278906256,icp,30
2024-04,3105,0.9513687600644123,348.8604733165352,icp,30
2024-05,3017,0.9287371561153464,346.6993981308445,icp,30
2024-06,2830,0.9159010600706714,341.7032395345011,icp,30
2024-07,3008,0.9242021276595744,348.1421564230747,icp,30
2024-08,2258,0.9588131089459699,344.8203078033309,icp,30
2024-09,3425,0.8744525547445255,344.63202030491016,icp,30
2024-10,3583,0.8713368685459113,344.7689093191769,icp,30
2024-11,3015,0.7993366500829188,340.87245761609097,icp,30
2024-12,3151,0.8406854966677245,344.710953972906,icp,30
2024-01,3563,0.8894190289082234,559.898557046632,icp_norm,30
2024-02,2986,0.934025452109846,548.6440979548242,icp_norm,30
2024-03,3608,0.8797117516629712,494.6501443396301,icp_norm,30
2024-04,3105,0.9053140096618357,441.6274379630482,icp_norm,30
2024-05,3017,0.8551541266158436,386.008169365516,icp_norm,30
2024-06,2830,0.8445229681978799,346.8527439275466,icp_norm,30
2024-07,3008,0.8284574468085106,369.89993189389077,icp_norm,30
2024-08,2258,0.899911426040744,409.01350644001036,icp_norm,30
2024-09,3425,0.9033576642335767,479.7101533672959,icp_norm,30
2024-10,3583,0.9179458554284119,529.0274126206751,icp_norm,30
2024-11,3015,0.8872305140961857,540.8081265240446,icp_norm,30
2024-12,3151,0.9238337035861631,556.6276724733184,icp_norm,30
2024-01,3563,0.8599494807746281,385.9352251701106,mondrian,30
2024-02,2986,0.9176155391828533,273.4602796521247,mondrian,30
2024-03,3608,0.8650221729490022,363.11252003297915,mondrian,30
2024-04,3105,0.9307568438003221,232.9098485040559,mondrian,30
2024-05,3017,0.893602916804773,234.2042911724798,mondrian,30
2024-06,2830,0.893286219081272,259.28739188605874,mondrian,30
2024-07,3008,0.8716755319148937,238.64023986492597,mondrian,30
2024-08,2258,0.9601417183348095,204.6686337550181,mondrian,30
2024-09,3425,0.9062773722627737,307.1781357122552,mondrian,30
2024-10,3583,0.8950600055819146,311.3456199610048,mondrian,30
2024-11,3015,0.8560530679933664,406.38883706322815,mondrian,30
2024-12,3151,0.8873373532211997,372.8212586758129,mondrian,30
2024-01,3563,0.9444288520909346,410.9598425817217,cqr,30
2024-02,2986,0.9537843268586738,251.6182401480151,cqr,30
2024-03,3608,0.9229490022172949,423.5991972257099,cqr,30
2024-04,3105,0.8876006441223833,198.07769087904182,cqr,30
2024-05,3017,0.8369240967848857,222.92519944774193,cqr,30
2024-06,2830,0.8293286219081272,249.33787080916738,cqr,30
2024-07,3008,0.8031914893617021,226.23474263621267,cqr,30
2024-08,2258,0.8910540301151462,163.04308607284088,cqr,30
2024-09,3425,0.9185401459854015,300.78914345527767,cqr,30
2024-10,3583,0.9525537259279933,328.5431108622353,cqr,30
2024-11,3015,0.9293532338308458,486.32810329150834,cqr,30
2024-12,3151,0.952396064741352,409.71255267762933,cqr,30
2024-01,3563,0.9447095144541117,413.6673262165076,mondrian_cqr,30
2024-02,2986,0.956463496316142,253.496364441881,mondrian_cqr,30
2024-03,3608,0.9176829268292683,420.1212267553703,mondrian_cqr,30
2024-04,3105,0.8885668276972625,199.12278350756927,mondrian_cqr,30
2024-05,3017,0.8372555518727213,223.29222007451727,mondrian_cqr,30
2024-06,2830,0.8257950530035336,248.1579286401428,mondrian_cqr,30
2024-07,3008,0.8045212765957447,227.41243062007126,mondrian_cqr,30
2024-08,2258,0.8906111603188662,161.55440086127385,mondrian_cqr,30
2024-09,3425,0.9094890510948905,298.96886984681043,mondrian_cqr,30
2024-10,3583,0.9492045771699693,328.7431656998914,mondrian_cqr,30
2024-11,3015,0.9296849087893864,485.1110265614512,mondrian_cqr,30
2024-12,3151,0.952078705172961,408.2901834139095,mondrian_cqr,30
2024-01,3563,0.9155206286836935,432.6975959124464,aci,30
2024-02,2986,0.9457468184862693,293.8107113165688,aci,30
2024-03,3608,0.91990022172949,438.22947162901994,aci,30
2024-04,3105,0.9243156199677939,213.37098528560128,aci,30
2024-05,3017,0.9151474975140869,239.6253348258324,aci,30
2024-06,2830,0.9166077738515901,264.61310578102996,aci,30
2024-07,3008,0.9158909574468085,256.3659463281183,aci,30
2024-08,2258,0.9353410097431355,207.49066955625523,aci,30
2024-09,3425,0.9264233576642336,319.38460242492187,aci,30
2024-10,3583,0.9327379291096847,336.81573470327857,aci,30
2024-11,3015,0.9150912106135987,445.0596669561169,aci,30
2024-12,3151,0.9330371310695017,376.28013287029705,aci,30
2024-01,3563,0.9076620825147348,447.6174823634651,aci_regime,30
2024-02,2986,0.9377093101138647,290.75108575722993,aci_regime,30
2024-03,3608,0.9096452328159645,409.1227049167831,aci_regime,30
2024-04,3105,0.9088566827697262,208.39493043651558,aci_regime,30
2024-05,3017,0.8965860125952934,209.95299390645468,aci_regime,30
2024-06,2830,0.9028268551236749,237.0382150265185,aci_regime,30
2024-07,3008,0.8966090425531915,216.9465870103902,aci_regime,30
2024-08,2258,0.9114260407440212,159.82545927749638,aci_regime,30
2024-09,3425,0.915036496350365,313.8387182830099,aci_regime,30
2024-10,3583,0.9240859614847893,336.27211014142677,aci_regime,30
2024-11,3015,0.9084577114427861,452.1256234014654,aci_regime,30
2024-12,3151,0.9285940971120279,387.2106883066822,aci_regime,30
