site,horizon_min,method,variant,nominal,scope,n,PICP,PICP_ci_lo,PICP_ci_hi,ACE,ACE_ci_lo,ACE_ci_hi,covers_nominal
asp,15,icp,static,0.8,transitional,15873,0.4657,0.4474,0.4861,-0.3343,-0.3526,-0.3139,no
asp,15,icp_norm,static,0.8,all,43497,0.7561,0.735,0.7772,-0.0439,-0.065,-0.0228,no
asp,15,icp_norm,static,0.8,clear,23645,0.9413,0.9351,0.9469,0.1413,0.1351,0.1469,no
asp,15,icp_norm,static,0.8,cloudy,3979,0.8022,0.7665,0.8336,0.0022,-0.0335,0.0336,yes
asp,15,icp_norm,static,0.8,transitional,15873,0.4688,0.4524,0.4867,-0.3312,-0.3476,-0.3133,no
asp,15,mondrian,static,0.8,all,43497,0.783,0.7688,0.7972,-0.017,-0.0312,-0.0028,no
asp,15,mondrian,static,0.8,clear,23645,0.7852,0.7618,0.8069,-0.0148,-0.0382,0.0069,yes
asp,15,mondrian,static,0.8,cloudy,3979,0.7731,0.7385,0.8044,-0.0269,-0.0615,0.0044,yes
asp,15,mondrian,static,0.8,transitional,15873,0.7821,0.7654,0.7995,-0.0179,-0.0346,-0.0005,no
asp,15,cqr,static,0.8,all,43497,0.8063,0.7985,0.8141,0.0063,-0.0015,0.0141,yes
asp,15,cqr,static,0.8,clear,23645,0.8202,0.8105,0.8295,0.0202,0.0105,0.0295,no
asp,15,cqr,static,0.8,cloudy,3979,0.817,0.7891,0.8443,0.017,-0.0109,0.0443,yes
asp,15,cqr,static,0.8,transitional,15873,0.783,0.772,0.794,-0.017,-0.028,-0.006,no
asp,15,mondrian_cqr,static,0.8,all,43497,0.8067,0.7989,0.8143,0.0067,-0.0011,0.0143,yes
asp,15,mondrian_cqr,static,0.8,clear,23645,0.8195,0.8098,0.8288,0.0195,0.0098,0.0288,no
asp,15,mondrian_cqr,static,0.8,cloudy,3979,0.8211,0.7938,0.8477,0.0211,-0.0062,0.0477,yes
asp,15,mondrian_cqr,static,0.8,transitional,15873,0.784,0.7729,0.795,-0.016,-0.0271,-0.005,no
asp,15,aci,anticipative,0.8,all,43497,0.8287,0.8263,0.8311,0.0287,0.0263,0.0311,no
asp,15,aci,anticipative,0.8,clear,23645,0.8313,0.8264,0.8359,0.0313,0.0264,0.0359,no
asp,15,aci,anticipative,0.8,cloudy,3979,0.8243,0.8095,0.838,0.0243,0.0095,0.038,no
