site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,cqr,static,60,0.95,transitional,13998,0.9356,-0.0144,0.4015,744.07
asp,cqr,static,60,0.95,cloudy,3647,0.955,0.005,0.4201,626.67
asp,mondrian_cqr,static,60,0.95,all,40239,0.9466,-0.0034,0.2511,521.01
asp,mondrian_cqr,static,60,0.95,clear,22594,0.951,0.001,0.1435,366.08
asp,mondrian_cqr,static,60,0.95,transitional,13998,0.9373,-0.0127,0.4028,743.53
asp,mondrian_cqr,static,60,0.95,cloudy,3647,0.9553,0.0053,0.4205,626.71
asp,cqr,rearranged,60,0.95,all,40239,0.9458,-0.0042,0.2497,520.49
asp,cqr,rearranged,60,0.95,clear,22594,0.9505,0.0005,0.1426,365.56
asp,cqr,rearranged,60,0.95,transitional,13998,0.9353,-0.0147,0.4001,742.8
asp,cqr,rearranged,60,0.95,cloudy,3647,0.9572,0.0072,0.421,627.1
asp,mondrian_cqr,rearranged,60,0.95,all,40239,0.9461,-0.0039,0.2502,520.14
asp,mondrian_cqr,rearranged,60,0.95,clear,22594,0.9499,-0.0001,0.1424,365.56
asp,mondrian_cqr,rearranged,60,0.95,transitional,13998,0.9379,-0.0121,0.4024,741.89
asp,mondrian_cqr,rearranged,60,0.95,cloudy,3647,0.9545,0.0045,0.4181,626.71
asp,aci,anticipative,60,0.95,all,40239,0.9755,0.0255,0.3307,583.87
asp,aci,anticipative,60,0.95,clear,22594,0.9805,0.0305,0.22,404.86
asp,aci,anticipative,60,0.95,transitional,13998,0.9693,0.0193,0.5176,867.0
asp,aci,anticipative,60,0.95,cloudy,3647,0.9682,0.0182,0.3926,606.21
asp,aci_regime,anticipative,60,0.95,all,40239,0.9675,0.0175,0.29,531.6
asp,aci_regime,anticipative,60,0.95,clear,22594,0.9642,0.0142,0.1516,313.85
asp,aci_regime,anticipative,60,0.95,transitional,13998,0.9738,0.0238,0.5112,861.53
asp,aci_regime,anticipative,60,0.95,cloudy,3647,0.9644,0.0144,0.3789,614.24
asp,aci_g0.01,anticipative,60,0.95,all,40239,0.9725,0.0225,0.3716,678.51
asp,aci_g0.02,anticipative,60,0.95,all,40239,0.9765,0.0265,0.354,631.01
asp,aci_g0.05,anticipative,60,0.95,all,40239,0.9755,0.0255,0.3307,583.87
asp,aci_g0.1,anticipative,60,0.95,all,40239,0.9692,0.0192,0.3269,575.03
asp,aci,delayed,60,0.95,all,40239,0.9614,0.0114,0.4497,877.62
asp,aci,delayed,60,0.95,clear,22594,0.9688,0.0188,0.2761,604.97
asp,aci,delayed,60,0.95,transitional,13998,0.9509,0.0009,0.7196,1292.87
asp,aci,delayed,60,0.95,cloudy,3647,0.9556,0.0056,0.6262,972.88
asp,aci_regime,delayed,60,0.95,all,40239,0.9364,-0.0136,0.356,817.24
asp,aci_regime,delayed,60,0.95,clear,22594,0.9271,-0.0229,0.218,627.68
asp,aci_regime,delayed,60,0.95,transitional,13998,0.9519,0.0019,0.5805,1109.04
asp,aci_regime,delayed,60,0.95,cloudy,3647,0.9353,-0.0147,0.4511,871.66
asp,aci_g0.01,delayed,60,0.95,all,40239,0.9633,0.0133,0.4291,839.19
asp,aci_g0.02,delayed,60,0.95,all,40239,0.9649,0.0149,0.4397,848.64
asp,aci_g0.05,delayed,60,0.95,all,40239,0.9614,0.0114,0.4497,877.62
asp,aci_g0.1,delayed,60,0.95,all,40239,0.9464,-0.0036,0.4885,952.66
asp,icp,static,15,0.8,all,43497,0.7442,-0.0558,0.0864,423.38
asp,icp,static,15,0.8,clear,23645,0.931,0.131,0.0935,193.51
asp,icp,static,15,0.8,transitional,15873,0.4657,-0.3343,0.0859,788.58
