site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
yulara,5,icp,A,A: theta selected on 2023-H2 (mean cost),0.9,12.76,170.27,0.9255,0.7632,0.8993,0.9485,0.6778,0.8472,104.3472,243.4507
yulara,5,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,7.12,80.64,0.9584,0.8879,,,,,,
yulara,5,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.9,12.76,170.27,0.9255,0.7632,0.8993,0.9485,0.6778,0.8472,104.3472,243.4507
yulara,5,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,8.92,125.48,0.9479,0.8255,0.9267,0.9661,0.7509,0.8939,73.0225,185.8401
yulara,5,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,11.4,143.84,0.9334,0.8,0.9102,0.9535,0.721,0.8746,85.6554,207.7203
yulara,5,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.85,7.43,87.03,0.9566,0.879,,,,,,
yulara,5,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.825,8.04,103.34,0.9531,0.8563,0.9344,0.9686,0.791,0.9134,60.7406,151.185
yulara,5,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.875,11.97,105.04,0.9301,0.8539,,,,,,
yulara,5,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.825,8.04,103.34,0.9531,0.8563,0.9344,0.9686,0.791,0.9134,60.7406,151.185
yulara,5,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,31.86,170.35,0.8139,0.7631,0.7884,0.8377,0.7314,0.7941,151.3089,186.2412
yulara,5,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,6.92,68.93,0.9596,0.9041,0.9482,0.9694,0.8767,0.9282,52.0426,86.774
yulara,5,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.8,6.92,68.93,0.9596,0.9041,,,,,,
yulara,5,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.8,6.92,68.93,0.9596,0.9041,0.9482,0.9694,0.8767,0.9282,52.0426,86.774
yulara,5,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.8,6.92,68.93,0.9596,0.9041,,,,,,
yulara,5,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.8,6.92,68.93,0.9596,0.9041,0.9482,0.9694,0.8767,0.9282,52.0426,86.774
yulara,5,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,34.93,193.14,0.796,0.7314,0.7616,0.8275,0.6948,0.7637,173.9996,209.9703
yulara,15,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,31.73,228.37,0.9071,0.8617,0.8875,0.924,0.8258,0.8935,175.6559,283.4356
yulara,15,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.775,29.4,247.66,0.9139,0.85,,,,,,
yulara,15,cqr,A,A: theta selected on 2023-H2 (mean cost),0.8,31.73,228.37,0.9071,0.8617,0.8875,0.924,0.8258,0.8935,175.6559,283.4356
yulara,15,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.775,29.4,247.66,0.9139,0.85,,,,,,
yulara,15,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.8,31.73,228.37,0.9071,0.8617,0.8875,0.924,0.8258,0.8935,175.6559,283.4356
yulara,15,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,90.87,374.05,0.734,0.7734,0.6902,0.7717,0.7387,0.8016,337.9796,414.1613
yulara,15,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,44.46,440.03,0.8699,0.7335,0.8415,0.8963,0.6588,0.8007,319.7722,574.9055
yulara,15,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.9,44.46,440.03,0.8699,0.7335,,,,,,
yulara,15,icp,A,A: theta selected on 2023-H2 (mean cost),0.875,99.9,794.99,0.7076,0.5184,0.6718,0.7442,0.4572,0.5818,657.0627,917.4615
yulara,15,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,52.12,233.81,0.8474,0.8584,,,,,,
yulara,15,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.9,44.46,440.03,0.8699,0.7335,0.8415,0.8963,0.6588,0.8007,319.7722,574.9055
yulara,15,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,35.65,328.78,0.8956,0.8008,0.8703,0.9177,0.7271,0.8657,217.6605,456.6492
yulara,15,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,36.28,382.27,0.8938,0.7684,0.8671,0.9178,0.7018,0.8311,269.1151,500.5139
